directores,titulo,pais,votos,votacion,nota
Todd Phillips,Joker ,Estados Unidos,69408.0,8.0,10
Damien Chazelle,La ciudad de las estrellas (La La Land) ,Estados Unidos,58319.0,7.5,10
Christopher Cantwell,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Christopher C. Rogers,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Karyn Kusama,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Juan José Campanella,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Johan Renck,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Ed Bianchi,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Larysa Kondracki,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Jon Amiel,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Daisy von Scherler Mayer,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Terry McDonough,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Michael Morris,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Kimberly Peirce,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Jeff Freilich,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Phil Abraham,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Craig Zisk,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Jake Paltrow,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Tricia Brock,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Reed Morano,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Andrew McCarthy,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Kim So-yong,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Meera Menon,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Stacie Passon,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Raphael Bob-Waksberg,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
JC Gonzalez,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Amy Winfrey,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Joel Moser,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Martin Cendreda,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Adam Parton,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Mike Hollingsworth,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Matt Mariska,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Mike Roberts,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Anne Walker Farrell,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Aaron Long,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Matt Garofalo,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Otto Murga,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Tim Rauch,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Peter Merryman,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Don Hertzfeldt,It's Such a Beautiful Day (Película) ,Estados Unidos,2781.0,7.7,10
Lee Unkrich,Toy Story 3 ,Estados Unidos,115948.0,7.9,10
Vince Gilligan,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
