guionistas,titulo,pais,votos,votacion,nota
Todd Phillips,Joker ,Estados Unidos,69408.0,8.0,10
Scott Silver,Joker ,Estados Unidos,69408.0,8.0,10
Damien Chazelle,La ciudad de las estrellas (La La Land) ,Estados Unidos,58319.0,7.5,10
Christopher Cantwell,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Christopher C. Rogers,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Jason Cahill,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Jonathan Lisco,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Zack Whedon,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Dahvi Waller,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Jamie Pachino,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Mark Lafferty,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Alison Tatlock,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Lisa Albert,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Julia Cho,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Angelina Burnett,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Michael Saltzman,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
Raphael Bob-Waksberg,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Joe Lawson,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Peter Knight,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Elijah Aron,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Jordan Young,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Mehar Sethi,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Vera Santamaria,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Kate Purdy,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Joanna Calo,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Scott Chernoff,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Alison Flierl,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Kelly Galuska,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Laura Gutin,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Scott Marder,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Caroline Williams,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Alison Tafel,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Nick Adams,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
