productores,titulo,pais,votos,votacion,nota
DC Comics,Joker ,Estados Unidos,69408.0,8.0,10
DC Entertainment,Joker ,Estados Unidos,69408.0,8.0,10
Warner Bros.,Joker ,Estados Unidos,69408.0,8.0,10
Village Roadshow,Joker ,Estados Unidos,69408.0,8.0,10
Bron Studios,Joker ,Estados Unidos,69408.0,8.0,10
Creative Wealth Media Finance,Joker ,Estados Unidos,69408.0,8.0,10
22 & Indiana Pictures,Joker ,Estados Unidos,69408.0,8.0,10
Warner Bros.,Joker ,Estados Unidos,69408.0,8.0,10
Summit Entertainment,La ciudad de las estrellas (La La Land) ,Estados Unidos,58319.0,7.5,10
Gilbert Films,La ciudad de las estrellas (La La Land) ,Estados Unidos,58319.0,7.5,10
Impostor Pictures,La ciudad de las estrellas (La La Land) ,Estados Unidos,58319.0,7.5,10
Marc Platt Productions,La ciudad de las estrellas (La La Land) ,Estados Unidos,58319.0,7.5,10
AMC Studios,Halt and Catch Fire (Serie de TV),Estados Unidos,4517.0,7.6,10
ShadowMachine Films,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Tornante Company,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Netflix,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Lisa Hanawalt,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Netflix,BoJack Horseman (Serie de TV),Estados Unidos,11520.0,8.0,10
Bitter Films,It's Such a Beautiful Day (Película) ,Estados Unidos,2781.0,7.7,10
Pixar Animation Studios,Toy Story 3 ,Estados Unidos,115948.0,7.9,10
Walt Disney Pictures,Toy Story 3 ,Estados Unidos,115948.0,7.9,10
Gran Via Productions,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
High Bridge Productions,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Sony Pictures Television,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
AMC,Breaking Bad (Serie de TV),Estados Unidos,102630.0,8.8,10
Warner Bros.,Mystic River ,Estados Unidos,135926.0,8.0,10
Mandalay Pictures,Sleepy Hollow ,Estados Unidos,85826.0,6.9,10
Scott Rudin Productions,Sleepy Hollow ,Estados Unidos,85826.0,6.9,10
American Zoetrope,Sleepy Hollow ,Estados Unidos,85826.0,6.9,10
Paramount Pictures,Titanic ,Estados Unidos,180643.0,6.8,10
20th Century Fox,Titanic ,Estados Unidos,180643.0,6.8,10
Lightstorm Entertainment,Titanic ,Estados Unidos,180643.0,6.8,10
James Cameron,Titanic ,Estados Unidos,180643.0,6.8,10
20th Century Fox,Titanic ,Estados Unidos,180643.0,6.8,10
New Line Cinema,Seven (Se7en) ,Estados Unidos,174377.0,8.3,10
Kopelson Entertainment,Seven (Se7en) ,Estados Unidos,174377.0,8.3,10
Walt Disney Pictures,El rey león ,Estados Unidos,161434.0,7.9,10
Warner Bros. Television,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Bright/Kauffman/Crane Productions,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
NBC,Friends (Serie de TV),Estados Unidos,142317.0,8.2,10
Universal Pictures,La lista de Schindler ,Estados Unidos,174298.0,8.6,10
Amblin Entertainment,La lista de Schindler ,Estados Unidos,174298.0,8.6,10
Warner Bros.,La chaqueta metálica ,Reino Unido,122457.0,8.2,10
Warner Bros.,Blade Runner ,Estados Unidos,136125.0,8.1,10
Ladd Company,Blade Runner ,Estados Unidos,136125.0,8.1,10
Shaw Brothers,Blade Runner ,Estados Unidos,136125.0,8.1,10
Paramount Pictures,El hombre elefante ,Estados Unidos,42610.0,8.1,10
Mel Brooks,El hombre elefante ,Estados Unidos,42610.0,8.1,10
Metro-Goldwyn-Mayer (MGM),2001: Una odisea del espacio ,Reino Unido,114863.0,7.8,10
Stanley Kubrick Production,2001: Una odisea del espacio ,Reino Unido,114863.0,7.8,10
Pakula-Mulligan Production,Matar a un ruiseñor ,Estados Unidos,48608.0,8.3,10
Brentwood Production,Matar a un ruiseñor ,Estados Unidos,48608.0,8.3,10
Universal Pictures,Matar a un ruiseñor ,Estados Unidos,48608.0,8.3,10
Paramount Pictures,Psicosis ,Estados Unidos,108789.0,8.4,10
Bryna Productions,Senderos de gloria ,Estados Unidos,55924.0,8.4,10
Metro-Goldwyn-Mayer (MGM),Senderos de gloria ,Estados Unidos,55924.0,8.4,10
Metro-Goldwyn-Mayer (MGM),Doce hombres sin piedad ,Estados Unidos,70179.0,8.7,10
Orion-Nova Productions,Doce hombres sin piedad ,Estados Unidos,70179.0,8.7,10
United Artists,La noche del cazador ,Estados Unidos,31360.0,8.1,10
Metro-Goldwyn-Mayer (MGM),La parada de los monstruos ,Estados Unidos,23211.0,8.2,10
United Artists,Luces de la ciudad ,Estados Unidos,32742.0,8.6,10
PlayStation Productions,The Last of Us (Serie de TV),Estados Unidos,14818.0,7.8,9
