generos,titulo,votos,votacion,nota
Thriller,Joker ,69408.0,8.0,10
Drama,Joker ,69408.0,8.0,10
Crimen,Joker ,69408.0,8.0,10
DC Comics,Joker ,69408.0,8.0,10
Cómic,Joker ,69408.0,8.0,10
Payasos,Joker ,69408.0,8.0,10
Drama psicológico,Joker ,69408.0,8.0,10
Años 80,Joker ,69408.0,8.0,10
Musical,La ciudad de las estrellas (La La Land) ,58319.0,7.5,10
Romance,La ciudad de las estrellas (La La Land) ,58319.0,7.5,10
Comedia,La ciudad de las estrellas (La La Land) ,58319.0,7.5,10
Drama,La ciudad de las estrellas (La La Land) ,58319.0,7.5,10
Drama romántico,La ciudad de las estrellas (La La Land) ,58319.0,7.5,10
Música,La ciudad de las estrellas (La La Land) ,58319.0,7.5,10
Jazz,La ciudad de las estrellas (La La Land) ,58319.0,7.5,10
Cine dentro del cine,La ciudad de las estrellas (La La Land) ,58319.0,7.5,10
Serie de TV,Halt and Catch Fire (Serie de TV),4517.0,7.6,10
Drama,Halt and Catch Fire (Serie de TV),4517.0,7.6,10
Internet / Informática,Halt and Catch Fire (Serie de TV),4517.0,7.6,10
Trabajo/empleo,Halt and Catch Fire (Serie de TV),4517.0,7.6,10
Años 80,Halt and Catch Fire (Serie de TV),4517.0,7.6,10
Años 90,Halt and Catch Fire (Serie de TV),4517.0,7.6,10
Serie de TV,BoJack Horseman (Serie de TV),11520.0,8.0,10
Animación,BoJack Horseman (Serie de TV),11520.0,8.0,10
Comedia,BoJack Horseman (Serie de TV),11520.0,8.0,10
Drama,BoJack Horseman (Serie de TV),11520.0,8.0,10
Comedia dramática,BoJack Horseman (Serie de TV),11520.0,8.0,10
Comedia negra,BoJack Horseman (Serie de TV),11520.0,8.0,10
Cine dentro del cine,BoJack Horseman (Serie de TV),11520.0,8.0,10
Televisión,BoJack Horseman (Serie de TV),11520.0,8.0,10
Animación para adultos,BoJack Horseman (Serie de TV),11520.0,8.0,10
Caballos,BoJack Horseman (Serie de TV),11520.0,8.0,10
Animación,It's Such a Beautiful Day (Película) ,2781.0,7.7,10
Drama,It's Such a Beautiful Day (Película) ,2781.0,7.7,10
Comedia dramática,It's Such a Beautiful Day (Película) ,2781.0,7.7,10
Animación para adultos,It's Such a Beautiful Day (Película) ,2781.0,7.7,10
Surrealismo,It's Such a Beautiful Day (Película) ,2781.0,7.7,10
Cine experimental,It's Such a Beautiful Day (Película) ,2781.0,7.7,10
Cine independiente USA,It's Such a Beautiful Day (Película) ,2781.0,7.7,10
Enfermedad,It's Such a Beautiful Day (Película) ,2781.0,7.7,10
Animación,Toy Story 3 ,115948.0,7.9,10
Fantástico,Toy Story 3 ,115948.0,7.9,10
Aventuras,Toy Story 3 ,115948.0,7.9,10
Comedia,Toy Story 3 ,115948.0,7.9,10
Infantil,Toy Story 3 ,115948.0,7.9,10
Secuela,Toy Story 3 ,115948.0,7.9,10
Muñecos,Toy Story 3 ,115948.0,7.9,10
3-D,Toy Story 3 ,115948.0,7.9,10
Pixar,Toy Story 3 ,115948.0,7.9,10
Cine familiar,Toy Story 3 ,115948.0,7.9,10
Serie de TV,Breaking Bad (Serie de TV),102630.0,8.8,10
Thriller,Breaking Bad (Serie de TV),102630.0,8.8,10
Drama,Breaking Bad (Serie de TV),102630.0,8.8,10
Comedia negra,Breaking Bad (Serie de TV),102630.0,8.8,10
Drogas,Breaking Bad (Serie de TV),102630.0,8.8,10
Enfermedad,Breaking Bad (Serie de TV),102630.0,8.8,10
Policíaco,Breaking Bad (Serie de TV),102630.0,8.8,10
Intriga,Mystic River ,135926.0,8.0,10
Drama,Mystic River ,135926.0,8.0,10
Crimen,Mystic River ,135926.0,8.0,10
Intriga,Sleepy Hollow ,85826.0,6.9,10
Aventuras,Sleepy Hollow ,85826.0,6.9,10
Terror,Sleepy Hollow ,85826.0,6.9,10
Fantástico,Sleepy Hollow ,85826.0,6.9,10
Brujería,Sleepy Hollow ,85826.0,6.9,10
Fantasmas,Sleepy Hollow ,85826.0,6.9,10
Sobrenatural,Sleepy Hollow ,85826.0,6.9,10
Siglo XVIII,Sleepy Hollow ,85826.0,6.9,10
Romance,Titanic ,180643.0,6.8,10
Drama,Titanic ,180643.0,6.8,10
Aventuras,Titanic ,180643.0,6.8,10
Drama romántico,Titanic ,180643.0,6.8,10
Basado en hechos reales,Titanic ,180643.0,6.8,10
3-D,Titanic ,180643.0,6.8,10
Catástrofes,Titanic ,180643.0,6.8,10
Titanic,Titanic ,180643.0,6.8,10
Cine épico,Titanic ,180643.0,6.8,10
Thriller,Seven (Se7en) ,174377.0,8.3,10
Intriga,Seven (Se7en) ,174377.0,8.3,10
Crimen,Seven (Se7en) ,174377.0,8.3,10
Policíaco,Seven (Se7en) ,174377.0,8.3,10
Asesinos en serie,Seven (Se7en) ,174377.0,8.3,10
Película de culto,Seven (Se7en) ,174377.0,8.3,10
Neo-noir,Seven (Se7en) ,174377.0,8.3,10
Animación,El rey león ,161434.0,7.9,10
Drama,El rey león ,161434.0,7.9,10
Aventuras,El rey león ,161434.0,7.9,10
Comedia,El rey león ,161434.0,7.9,10
Musical,El rey león ,161434.0,7.9,10
Infantil,El rey león ,161434.0,7.9,10
África,El rey león ,161434.0,7.9,10
Animales,El rey león ,161434.0,7.9,10
Serie de TV,Friends (Serie de TV),142317.0,8.2,10
Comedia,Friends (Serie de TV),142317.0,8.2,10
Sitcom,Friends (Serie de TV),142317.0,8.2,10
Amistad,Friends (Serie de TV),142317.0,8.2,10
Drama,La lista de Schindler ,174298.0,8.6,10
Nazismo,La lista de Schindler ,174298.0,8.6,10
Holocausto,La lista de Schindler ,174298.0,8.6,10
Basado en hechos reales,La lista de Schindler ,174298.0,8.6,10
II Guerra Mundial,La lista de Schindler ,174298.0,8.6,10
Bélico,La chaqueta metálica ,122457.0,8.2,10
Drama,La chaqueta metálica ,122457.0,8.2,10
Guerra de Vietnam,La chaqueta metálica ,122457.0,8.2,10
Ejército,La chaqueta metálica ,122457.0,8.2,10
Película de culto,La chaqueta metálica ,122457.0,8.2,10
Ciencia ficción,Blade Runner ,136125.0,8.1,10
Acción,Blade Runner ,136125.0,8.1,10
Neo-noir,Blade Runner ,136125.0,8.1,10
Thriller futurista,Blade Runner ,136125.0,8.1,10
Cyberpunk,Blade Runner ,136125.0,8.1,10
