productores,titulo,votos,votacion,nota
DC Comics,Joker ,69408.0,8.0,10
DC Entertainment,Joker ,69408.0,8.0,10
Warner Bros.,Joker ,69408.0,8.0,10
Village Roadshow,Joker ,69408.0,8.0,10
Bron Studios,Joker ,69408.0,8.0,10
Creative Wealth Media Finance,Joker ,69408.0,8.0,10
22 & Indiana Pictures,Joker ,69408.0,8.0,10
Warner Bros.,Joker ,69408.0,8.0,10
Summit Entertainment,La ciudad de las estrellas (La La Land) ,58319.0,7.5,10
Gilbert Films,La ciudad de las estrellas (La La Land) ,58319.0,7.5,10
Impostor Pictures,La ciudad de las estrellas (La La Land) ,58319.0,7.5,10
Marc Platt Productions,La ciudad de las estrellas (La La Land) ,58319.0,7.5,10
AMC Studios,Halt and Catch Fire (Serie de TV),4517.0,7.6,10
ShadowMachine Films,BoJack Horseman (Serie de TV),11520.0,8.0,10
Tornante Company,BoJack Horseman (Serie de TV),11520.0,8.0,10
Netflix,BoJack Horseman (Serie de TV),11520.0,8.0,10
Lisa Hanawalt,BoJack Horseman (Serie de TV),11520.0,8.0,10
Netflix,BoJack Horseman (Serie de TV),11520.0,8.0,10
Bitter Films,It's Such a Beautiful Day (Película) ,2781.0,7.7,10
Pixar Animation Studios,Toy Story 3 ,115948.0,7.9,10
Walt Disney Pictures,Toy Story 3 ,115948.0,7.9,10
Gran Via Productions,Breaking Bad (Serie de TV),102630.0,8.8,10
High Bridge Productions,Breaking Bad (Serie de TV),102630.0,8.8,10
Sony Pictures Television,Breaking Bad (Serie de TV),102630.0,8.8,10
AMC,Breaking Bad (Serie de TV),102630.0,8.8,10
Warner Bros.,Mystic River ,135926.0,8.0,10
Mandalay Pictures,Sleepy Hollow ,85826.0,6.9,10
Scott Rudin Productions,Sleepy Hollow ,85826.0,6.9,10
American Zoetrope,Sleepy Hollow ,85826.0,6.9,10
Paramount Pictures,Titanic ,180643.0,6.8,10
20th Century Fox,Titanic ,180643.0,6.8,10
Lightstorm Entertainment,Titanic ,180643.0,6.8,10
James Cameron,Titanic ,180643.0,6.8,10
20th Century Fox,Titanic ,180643.0,6.8,10
New Line Cinema,Seven (Se7en) ,174377.0,8.3,10
Kopelson Entertainment,Seven (Se7en) ,174377.0,8.3,10
Walt Disney Pictures,El rey león ,161434.0,7.9,10
Warner Bros. Television,Friends (Serie de TV),142317.0,8.2,10
Bright/Kauffman/Crane Productions,Friends (Serie de TV),142317.0,8.2,10
NBC,Friends (Serie de TV),142317.0,8.2,10
Universal Pictures,La lista de Schindler ,174298.0,8.6,10
Amblin Entertainment,La lista de Schindler ,174298.0,8.6,10
Warner Bros.,La chaqueta metálica ,122457.0,8.2,10
Warner Bros.,Blade Runner ,136125.0,8.1,10
Ladd Company,Blade Runner ,136125.0,8.1,10
Shaw Brothers,Blade Runner ,136125.0,8.1,10
Paramount Pictures,El hombre elefante ,42610.0,8.1,10
